gs_name,gene_symbol
CD4_TCM,Pag1
CD4_TCM,Nat9
CD4_TCM,Snx9
CD4_TCM,Inf2
CD4_TCM,Rln1
CD4_TCM,Ldlrap1
CD4_TCM,Fam117B
CD4_TCM,Slc22A23
CD4_TCM,Mzf1
CD4_TCM,Mfhas1
CD4_TCM,Sik1
CD4_TCM,D430019H16Rik
CD4_TCM,Tespa1
CD4_TCM,Ifngas1
CD4_TCM,Tmem123
CD4_TCM,Tnfrsf25
CD4_TCM,Ckap4
CD4_TCM,Ldoc1
CD4_TCM,Rnf157
CD4_TCM,Actn1
CD4_TCM,Gpr183
CD4_TCM,Epha4
CD4_TCM,Lims2
CD4_TCM,Pdia5
CD4_TCM,Grap
CD4_TCM,Gnaq
CD4_TCM,Dusp16
CD4_TCM,Vwde
CD4_TCM,Tmem63A
CD4_TCM,Pde4B
CD4_TCM,Rab3Gap1
CD4_TCM,Pi16
CD4_TCM,Camk4
CD4_TCM,Sned1
CD4_TCM,Acvr2A
CD4_TCM,Sav1
CD4_TCM,Armcx4
CD4_TCM,Rgcc
CD4_TCM,Chd7
CD4_TCM,Klf5
CD4_TCM,Nfkbiz
CD4_TCM,Cd55
CD4_TCM,Fam102A
CD4_TCM,Dst
CD4_TCM,App
CD4_TCM,Lgals3Bp
CD4_TCM,Cysltr2
CD4_TCM,Cmtm8
CD4_TCM,Eppk1
CD4_TCM,Plag1
CD4_TCM,Hnrnpll
CD4_TCM,Map3K1
CD4_TCM,Mafg
CD4_TCM,Ablim1
CD4_TCM,Kcnn4
CD4_TCM,Zeb1
CD4_TCM,Arhgap5
CD4_TCM,Pcsk5
CD4_TCM,Vipr1
CD4_TCM,Bcl2
CD4_TCM,Tnk1
CD4_TCM,Lmo7
CD4_TCM,Junb
CD4_TCM,Lrrc51
CD4_TCM,Rgmb
CD4_TCM,Fos
CD4_TCM,Lims1
CD4_TCM,Bag3
CD4_TCM,Meox1
CD4_TCM,Ttc9
CD4_TCM,Rhpn1
CD4_TCM,Sgk1
CD4_TCM,Adam19
CD4_TCM,Efhc2
CD4_TCM,Dgka
CD4_TCM,Phc1
CD4_TCM,Eps8
CD4_TCM,Mpzl3
CD4_TCM,Dennd5A
CD4_TCM,Sell
CD4_TCM,Eepd1
CD4_TCM,Acss2
CD4_TCM,Asb13
CD4_TCM,Thnsl1
CD4_TCM,Cd82
CD4_TCM,Il6St
CD4_TCM,Pak3
CD4_TCM,Tnfrsf10B
CD4_TCM,Pdpr
CD4_TCM,Acsl6
CD4_TCM,Mcoln3
CD4_TCM,Bex1
CD4_TCM,Disc1
CD4_TCM,Npdc1
CD4_TCM,Acvr1C
CD4_TCM,Trat1
CD4_TCM,Ccr7
CD4_TCM,Epha1
CD4_TCM,Cd28
CD4_TCM,Usp6Nl
CD4_TCM,Pcyox1L
CD4_TCM,Hook1
CD4_TCM,Ano9
CD4_TCM,Hsbp1L1
CD4_TCM,Nlrp6
CD4_TCM,Tspan18
CD4_TCM,Lef1
CD4_TCM,Ephx2
CD4_TCM,Kif5C
CD4_TCM,Pask
CD4_TCM,Rasgrf2
CD4_TCM,Nell2
CD4_TCM,Vsig1
CD4_TCM,Mfge8
CD4_TCM,Megf6
CD4_TCM,Cacna1I
CD4_TCM,Hivep2
CD4_TCM,Susd4
CD4_TCM,Birc3
CD4_TCM,Tcf7
CD4_TCM,Fhit
CD4_TCM,Scgb3A1
CD4_TCM,Tiam1
CD4_TCM,Lgmn
CD4_TCM,Irs2
CD4_TCM,Ank3
CD4_TCM,Crb3
CD4_TCM,Klhl3
CD4_TCM,Ccr2
CD4_TCM,Satb1
CD4_TCM,Ptpn13
CD4_TCM,Als2Cl
CD4_TCM,Myc
CD4_TCM,Fbln7
CD4_TCM,Tcea3
CD4_TCM,Socs3
CD4_TCM,Usp53
CD4_TCM,Osbpl10
CD4_TCM,Zc2Hc1A
CD4_TCM,Aqp3
CD4_TCM,Rorc
CD4_TCM,Tbc1D4
CD4_TCM,Gpr15
CD4_TCM,Crip2
CD4_TCM,Serinc5
CD4_TCM,Inpp4B
CD4_TCM,Tnfsf8
CD4_TCM,Hrh2
CD4_TCM,Tnfrsf10B
CD4_TCM,Susd3
CD4_TCM,Tnfrsf4
CD4_TCM,Itga6
CD4_TCM,Hapln3
CD4_TCM,Pvt1
CD4_TCM,Nefl
CD4_TCM,Txk
CD4_TCM,Rcan3
CD4_TCM,Ifi44L
CD4_TCM,Ltb
CD4_TCM,Il2Ra
CD4_TCM,C130074G19Rik
CD4_TCM,Ccr6
CD4_TCM,Spint2
CD4_TCM,Lsr
CD4_TCM,Mal
CD4_TCM,Il6Ra
CD4_TCM,Dpp4
CD4_TCM,Il7R
CD4_TCM,Axin2
CD4_TCM,Tshz2
CD4_TCM,Slc40A1
CD4_TCM,Ccr4
CD4_TCM,Wnt7A
CD4_TCM,Gcsam
