gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
IARS,1.836666712,7.039694369,4.122594842,7.13E-05,0.002785106,1.403156591
HNMT,-2.272855186,2.71793988,-4.122294146,7.14E-05,0.002785106,1.402108176
NUDT5,-1.734840774,5.729176757,-4.121646967,7.16E-05,0.002785106,1.399851899
CD86,-2.545651113,3.362889678,-4.119461719,7.22E-05,0.002799325,1.392235319
ELMO1,1.673868888,7.398433514,4.116300765,7.30E-05,0.002824017,1.381223195
LYSMD3,2.07061065,5.097804545,4.10872,7.51E-05,0.002896813,1.35483857
SLC31A1,-2.16472044,3.966106763,-4.105916259,7.59E-05,0.002918432,1.345089266
KIAA1143,1.518059228,4.571280488,4.103552999,7.66E-05,0.002935355,1.336875411
KLF12,1.697590463,5.632090919,4.090550739,8.05E-05,0.003072942,1.291746271
EIF2AK1,-1.857346526,7.278264263,-4.08899371,8.09E-05,0.003081405,1.286349082
VCP,1.237094542,9.219106703,4.085035058,8.21E-05,0.003108871,1.272633863
SUV39H2,1.408132486,2.429246376,4.08498789,8.22E-05,0.003108871,1.272470503
ADPRH,-2.08425385,2.942402573,-4.081548022,8.32E-05,0.003139616,1.26056071
IL6,-1.497141028,2.129750862,-4.079830555,8.38E-05,0.003150252,1.254617118
SMCO4,-2.107395795,3.791443007,-4.077442682,8.45E-05,0.003168012,1.246356533
DNAAF2,1.614720411,6.115987625,4.076652723,8.48E-05,0.003168012,1.243624538
CLEC4E,-1.793428272,2.325398109,-4.075675019,8.51E-05,0.003168012,1.24024379
CCDC109B,1.190732466,8.052733323,4.075089811,8.53E-05,0.003168012,1.238220517
GAS2L1,-1.480254716,2.388043816,-4.072577828,8.61E-05,0.003181996,1.229538122
ATP6V1F,-1.446426292,6.155535801,-4.07221746,8.62E-05,0.003181996,1.228292875
UNC119,-1.762102324,6.167305063,-4.07129264,8.65E-05,0.003181996,1.22509754
KLRC2,-1.293789699,2.113910701,-4.070709494,8.67E-05,0.003181996,1.223082992
NT5C3B,1.792500528,5.340184972,4.066668834,8.80E-05,0.003220901,1.209129902
FBP1,-2.865763156,4.666961968,-4.063911466,8.89E-05,0.00324466,1.19961411
NPL,-2.486639797,4.29597309,-4.062091506,8.95E-05,0.003257166,1.193335959
GPD1L,-2.531973684,5.033904981,-4.060575141,9.00E-05,0.003266032,1.188106681
SFTPC,-4.232832233,3.838171362,-4.05822463,9.08E-05,0.003285177,1.180003644
GATA3,1.505411915,7.106265097,4.054854283,9.20E-05,0.003306711,1.168390925
TSG101,-1.441418473,6.200476812,-4.054360713,9.21E-05,0.003306711,1.166690902
RAD54L2,1.91230814,5.298184491,4.054126268,9.22E-05,0.003306711,1.165883446
DENND5A,2.394867284,5.557990458,4.050694223,9.34E-05,0.00333964,1.154067044
IL1R2,-3.107454499,4.298381079,-4.045161337,9.54E-05,0.003399447,1.13503311
LYRM7,1.936956881,4.565643571,4.044060228,9.58E-05,0.003403575,1.131247431
ITPKB,2.188262612,7.123969249,4.042593625,9.63E-05,0.003412383,1.126206346
TSPAN3,-2.037119867,6.123393818,-4.03840054,9.78E-05,0.003456187,1.111801129
NUPL1,1.99367822,4.915565934,4.037381201,9.82E-05,0.003456663,1.108300895
POLR2A,2.06298342,6.670615025,4.036329066,9.86E-05,0.003456663,1.104688733
FCN1,-2.921276743,3.654972223,-4.035801391,9.88E-05,0.003456663,1.102877393
CSNK1G3,1.913124253,4.935619929,4.034961224,9.91E-05,0.003456663,1.099993733
EIF1,1.015444829,11.26613179,4.034534738,9.92E-05,0.003456663,1.098530102
CCDC64,1.807968771,5.635809381,4.031358727,0.0001004,0.003487904,1.087634127
FTCDNL1,1.419453478,2.404510562,4.028696098,0.0001014,0.00350412,1.078504322
CRKL,2.013238613,6.324501783,4.028598777,0.000101437,0.00350412,1.078170703
UBAC1,-1.945897832,5.286189371,-4.025351226,0.000102669,0.003536776,1.067041538
CISD2,-1.456957224,4.695993989,-4.018128949,0.000105463,0.003622856,1.042315119
MRPS21,1.283522643,7.1179907,4.016971431,0.000105917,0.003628331,1.038355271
DDX21,1.900426754,7.154430423,4.013650997,0.000107231,0.003663136,1.027000834
NSFL1C,-1.817625685,6.47027371,-4.012030358,0.000107878,0.003675028,1.021461489
ZNF830,1.951052974,5.565622525,4.009008315,0.000109094,0.003706198,1.011136595
GNA15,-2.391558675,4.142458554,-4.003397894,0.000111387,0.003773671,0.991983789
PUS7L,-2.407480175,4.178918435,-3.996454849,0.000114289,0.003861329,0.968309355
CD4,-1.684712868,6.424218109,-3.993392099,0.000115592,0.003894643,0.95787571
DTYMK,-1.909206872,4.908530027,-3.991802259,0.000116273,0.003906911,0.952462073
PDCL3,-1.7158736,6.17591488,-3.984877864,0.000119288,0.003997283,0.928902267
HIST1H2BM,-0.980687317,1.941411503,-3.982258251,0.000120448,0.004025181,0.919997167
TCN2,-2.842949475,3.928047361,-3.981408683,0.000120826,0.004026885,0.91711009
PLAU,-1.943565364,2.65926321,-3.980079846,0.00012142,0.004027653,0.912595242
ADAM17,-1.984775438,4.308616126,-3.979892901,0.000121504,0.004027653,0.911960168
CAP1,-0.836556686,9.503234364,-3.978465208,0.000122146,0.004034561,0.907110874
KXD1,-1.426765409,4.769424305,-3.977971932,0.000122369,0.004034561,0.905435715
DDX5,0.905238718,11.7729584,3.976711524,0.000122939,0.00404253,0.901156097
BTAF1,2.190815755,6.043306197,3.974241282,0.000124065,0.004068655,0.892771526
THAP6,-1.865169124,4.442522088,-3.968960326,0.000126503,0.004137603,0.874859815
CLEC2D,1.300851226,7.422407292,3.966946544,0.000127445,0.004153964,0.868034256
TRIB3,-2.387304019,4.458714594,-3.965763385,0.000128002,0.004153964,0.864025241
SGSM2,2.173383774,6.108263329,3.965731668,0.000128017,0.004153964,0.863917782
TCERG1,1.950240033,6.658089938,3.963240515,0.000129197,0.004181209,0.855479736
GIGYF2,1.983101009,5.162216287,3.960537043,0.000130488,0.004204086,0.846327023
RNASE1,-3.474061326,4.677654089,-3.960331573,0.000130587,0.004204086,0.845631587
SPP1,-3.223018365,2.954788915,-3.959003098,0.000131227,0.004213653,0.84113587
ATP2C1,-1.901789466,4.967521872,-3.95760846,0.000131902,0.004224294,0.836417468
PCSK7,1.916515277,7.485116193,3.956200227,0.000132587,0.004235197,0.831654337
PLAC8,1.642808459,6.315098928,3.954573611,0.000133382,0.004249562,0.826154138
NCF2,-2.700078714,3.85317786,-3.953087911,0.000134112,0.00426179,0.821131915
GDI2,-1.515380123,7.54025486,-3.951880455,0.000134709,0.004262812,0.817051302
FOLR3,-1.141218965,1.87367934,-3.951619846,0.000134838,0.004262812,0.816170696
AEBP2,1.540824548,4.618491287,3.948520587,0.000136381,0.004300561,0.805701517
ITGAX,-1.668475165,2.842442334,-3.947287425,0.000137,0.004309029,0.801537657
ALDH3B1,-2.015980701,2.6114422,-3.944632816,0.000138342,0.004340121,0.7925775
B3GNT5,-2.233976495,3.299708607,-3.943016055,0.000139165,0.004354836,0.787122631
CAND1,1.880541038,6.785537532,3.941452683,0.000139965,0.004368765,0.781849491
ACTR1A,-1.788076779,6.511092779,-3.93771613,0.000141896,0.00441782,0.769252745
SRP9,-1.348904873,7.010238093,-3.935605195,0.000142998,0.004436725,0.762140289
KPTN,-1.824411735,3.187811268,-3.935172748,0.000143225,0.004436725,0.760683584
CHCHD1,-1.524737293,4.100808052,-3.931391489,0.000145222,0.004482022,0.747951467
PDE3B,2.142386889,7.515968019,3.931027475,0.000145416,0.004482022,0.74672626
DPYSL2,-2.206342343,4.716569061,-3.928775027,0.00014662,0.004507833,0.739146809
COPRS,-1.779826687,3.416790448,-3.92708582,0.000147529,0.004524474,0.733464803
TLR2,-2.345247073,3.244536682,-3.923956913,0.000149227,0.004561667,0.722944925
BTBD2,-1.708599776,4.965488465,-3.923487553,0.000149484,0.004561667,0.721367408
NFYB,-2.029643543,4.701606695,-3.916062806,0.000153595,0.004675533,0.696431792
SLC35C2,-1.650568862,6.715960842,-3.912401808,0.000155662,0.004726747,0.684149645
CREB3,-1.843497353,5.916301998,-3.90842399,0.000157938,0.004774969,0.670814446
PLXDC2,-2.324687595,3.137975913,-3.908269715,0.000158027,0.004774969,0.670297462
TBXAS1,-2.501018164,5.032966381,-3.905992308,0.000159345,0.004802988,0.662667545
HSD3B7,-1.304799674,2.153930268,-3.904716851,0.000160087,0.004813575,0.658395895
ALKBH2,-1.755599466,4.233654082,-3.90368925,0.000160688,0.004814975,0.654955111
POLA2,-2.194149145,4.594966633,-3.903298634,0.000160917,0.004814975,0.653647362
NXF1,1.581137359,8.930650957,3.902117118,0.000161611,0.004824012,0.649692361
RCAN2,-2.013493682,2.560455463,-3.901378111,0.000162047,0.004825306,0.647219071
ME2,-2.013287262,5.692847508,-3.899861816,0.000162944,0.004840311,0.64214548
LAMTOR2,-1.276489006,5.501650645,-3.897622359,0.000164278,0.004862089,0.634654891
NIPA2,-1.4589436,6.102407751,-3.897305489,0.000164468,0.004862089,0.633595278
CTU2,-1.641752274,3.624632303,-3.895079291,0.000165806,0.004880785,0.626152723
DNAJC24,1.778529041,3.97619094,3.894933353,0.000165894,0.004880785,0.62566494
MYL9,-0.924443298,1.841659693,-3.891336681,0.000168079,0.004933265,0.6136478
NUDT2,-1.729221407,3.885822438,-3.888539578,0.000169797,0.004971826,0.604307978
CLDN7,-1.230830723,2.194603036,-3.886661633,0.00017096,0.004993987,0.59804018
LACTB,-2.031799014,4.415098458,-3.885644328,0.000171593,0.005000603,0.594645796
PTAFR,-2.501903189,3.521520325,-3.878863661,0.000175871,0.005113138,0.572038347
RALGPS1,-1.948100982,3.604542339,-3.877322814,0.000176857,0.005129679,0.566905181
RSU1,-1.585178714,7.239634179,-3.875930807,0.000177752,0.00513485,0.562269188
NDUFS4,-1.597114051,4.746376814,-3.875747837,0.00017787,0.00513485,0.56165991
LGALS9,-1.39786396,3.325294411,-3.872201187,0.000180172,0.005178195,0.549854154
RPL39L,-1.628359547,3.056373267,-3.872137846,0.000180214,0.005178195,0.549643383
FPR2,-2.38199384,2.744615522,-3.869874758,0.000181698,0.00520867,0.542114611
SNX3,-1.22931943,7.16801991,-3.869181656,0.000182155,0.005209623,0.53980949
OLFML1,-0.900709659,1.779932365,-3.867887341,0.000183011,0.005221963,0.535505689
NOB1,1.7453536,4.620580277,3.863117469,0.000186199,0.005298674,0.51965457
N4BP1,1.681307222,5.92000345,3.862580748,0.000186561,0.005298674,0.517871883
TIMP2,-0.988311057,2.028998005,-3.85877976,0.000189144,0.005356312,0.505252522
TNFAIP6,-1.536258999,2.187479876,-3.857965796,0.000189702,0.005356312,0.502551374
RNF146,-2.144097984,4.7086265,-3.857681134,0.000189897,0.005356312,0.501606823
FDXACB1,1.532720047,2.8385976,3.856264262,0.000190872,0.005371501,0.496906213
PHYH,-1.434976463,5.360555656,-3.854741344,0.000191926,0.005388819,0.491855256
ODC1,2.140254389,7.598595253,3.853275754,0.000192945,0.005401151,0.486995865
SARAF,1.009396932,10.69593572,3.852585818,0.000193426,0.005401151,0.484708765
WASF2,-1.587909053,6.038187566,-3.852219521,0.000193683,0.005401151,0.483494635
KRT7,-1.548183368,2.006666393,-3.851124949,0.00019445,0.005410279,0.479867088
RETN,-1.330735063,2.204224296,-3.849319102,0.000195722,0.005415755,0.473884006
AFG3L2,-1.816802597,5.692133998,-3.849190321,0.000195813,0.005415755,0.473457414
ARHGEF19,-1.872784817,3.747727916,-3.84897159,0.000195968,0.005415755,0.472732885
ELF1,1.339841483,8.88237577,3.845851516,0.000198187,0.005464809,0.462401294
ARFGAP2,-2.096540002,7.396908589,-3.844689401,0.00019902,0.005475494,0.458554782
MAN2B1,-2.057748835,6.150687559,-3.841881353,0.000201046,0.005518886,0.449264014
IFRD2,1.419985225,6.67703212,3.838506988,0.000203506,0.005569703,0.438106374
SLC19A2,1.887765529,3.049693174,3.838102964,0.000203803,0.005569703,0.436770932
ANXA4,-2.199326905,4.415980574,-3.832089537,0.000208265,0.00567903,0.416907142
RASGEF1B,2.496874148,5.119934391,3.829432923,0.000210266,0.005720903,0.408139288
CDC23,-1.864499023,5.013093176,-3.826714653,0.000212332,0.005758427,0.399172754
JAG2,-1.623926269,2.352941925,-3.82638808,0.000212581,0.005758427,0.398095843
ST14,-2.491875431,3.392092989,-3.824785993,0.00021381,0.005765753,0.392813793
CKS2,-1.524221798,6.04347466,-3.824555481,0.000213987,0.005765753,0.392053941
GPX1,-1.480944172,7.147153011,-3.823783232,0.000214582,0.005765753,0.389508572
IBTK,1.942227079,4.759925964,3.8235946,0.000214727,0.005765753,0.388886893
SPINK2,1.35647843,2.533004993,3.822919748,0.000215249,0.005767164,0.386662955
STYX,1.99134378,4.816805059,3.818898972,0.000218381,0.005838359,0.373418939
WFDC2,-1.694564414,2.138953028,-3.816529172,0.000220247,0.005875479,0.365618062
C7orf49,-1.540550261,3.917521794,-3.806774539,0.000228089,0.006071525,0.333546948
GLTSCR1L,-1.848593571,5.019202649,-3.804929777,0.000229602,0.006093692,0.327488843
TMEM80,-1.646308666,5.285483863,-3.804551939,0.000229913,0.006093692,0.326248322
MBD6,1.234447041,2.743052059,3.801292775,0.000232613,0.006151978,0.315551712
TUBE1,2.055216964,5.297010423,3.797856031,0.000235492,0.006214756,0.304279908
PPP2R5C,0.864551265,8.24155609,3.796927538,0.000236275,0.006222085,0.301235985
BBC3,1.482936006,3.859531547,3.792496789,0.000240049,0.006307954,0.28671833
TEX261,-2.091045031,5.363331523,-3.790438931,0.000241821,0.006340971,0.279980044
IL1B,-2.552955405,3.270800398,-3.787542154,0.000244337,0.006393303,0.270499547
MYLIP,1.524123745,7.962210651,3.786623507,0.00024514,0.006400695,0.267494188
JDP2,-1.804165817,2.670605322,-3.783894172,0.00024754,0.006449326,0.258568459
HCFC1R1,-0.893592409,3.07452038,-3.783316455,0.000248051,0.006449326,0.25667979
PIAS2,2.004726456,5.270495257,3.782171027,0.000249067,0.00646208,0.252935818
THBD,-2.845445622,3.28399872,-3.780560613,0.000250502,0.006485633,0.247673457
TSPYL1,1.512493518,5.673557787,3.774993346,0.000255524,0.006601761,0.229494548
SPATA2,1.92180593,4.688452018,3.773274159,0.000257094,0.006628052,0.22388502
CDC20B,-0.965176902,1.898955603,-3.772701092,0.00025762,0.006628052,0.222015601
SERINC2,-1.319092388,2.17335773,-3.767700766,0.000262248,0.006708438,0.205713165
CNOT2,1.371824601,7.327297852,3.767377943,0.000262549,0.006708438,0.204661244
CTSD,-2.073809505,6.354895769,-3.766457845,0.00026341,0.006708438,0.201663486
ITFG1,-1.92409637,5.81480038,-3.766281001,0.000263576,0.006708438,0.201087378
ZNF431,1.856183593,4.579579223,3.766242268,0.000263612,0.006708438,0.200961199
STAM2,-1.990882311,3.785609113,-3.765810968,0.000264017,0.006708438,0.199556242
HIGD1A,-1.633930553,6.047681521,-3.764970223,0.000264808,0.00671466,0.19681788
KAT6B,1.746518015,6.549859717,3.760002082,0.000269528,0.006820271,0.180645936
ARL6IP5,-1.377736767,8.895572959,-3.759360668,0.000270143,0.006821799,0.178559252
ATXN7L1,-1.677900815,5.18154294,-3.758167811,0.00027129,0.006836738,0.174679315
MSRB1,-1.955138565,3.942937788,-3.755096102,0.000274267,0.006897607,0.164692512
PPAP2B,-1.723152949,2.286691009,-3.753118594,0.000276199,0.006932029,0.158266537
TM6SF1,-1.26475519,2.286271158,-3.752046165,0.000277252,0.006944295,0.154782736
TRAV1-2,-1.546296949,3.044145083,-3.750239477,0.000279036,0.006974754,0.148915429
NDUFV3,-1.780680779,4.73076851,-3.74940716,0.000279861,0.00698119,0.146213172
MCAM,-2.411122747,3.291003088,-3.748537173,0.000280726,0.006988592,0.143389111
ITGAE,-1.766707112,6.31759882,-3.746088625,0.000283174,0.00702853,0.135443606
GLDN,-1.468692823,2.149298717,-3.745790741,0.000283473,0.00702853,0.13447725
MRPL36,-1.413702859,4.617328896,-3.744700551,0.000284571,0.007041547,0.130941105
FRMD4B,-2.464050221,5.123001383,-3.740590893,0.000288745,0.007116907,0.11761817
IRGM,2.132218987,3.169313357,3.740506311,0.000288831,0.007116907,0.117344085
WDR6,1.995513547,7.390151302,3.739997335,0.000289352,0.007116907,0.115694874
GPR98,1.020153637,2.852466506,3.738564859,0.000290824,0.00713882,0.111054216
PLCB1,1.870257232,3.265177137,3.736005171,0.000293471,0.007189446,0.102765267
MXI1,1.713446869,6.35166523,3.734961758,0.000294556,0.007201694,0.099387679
ARL4D,-2.015124648,4.86846756,-3.73415445,0.000295399,0.007207963,0.096774877
LIAS,1.650736242,3.77298119,3.732214953,0.000297432,0.007240265,0.090499606
PERP,-2.137491521,4.437461041,-3.731770545,0.0002979,0.007240265,0.089062074
CHMP1B,1.607112875,7.072751839,3.730529569,0.00029921,0.007246309,0.085048574
UGT8,-1.217409178,1.927598189,-3.730418854,0.000299327,0.007246309,0.084690558
SOD2,-1.607963939,8.251294802,-3.729400739,0.000300406,0.007256613,0.081398671
WHAMM,1.690726848,5.645012787,3.728570448,0.000301289,0.007256613,0.078714593
SNX1,-1.637228252,6.628736262,-3.728351019,0.000301523,0.007256613,0.078005325
SIGLEC14,-1.3580663,2.287307598,-3.727752328,0.000302162,0.007257779,0.076070317
RAB10,-1.482383599,7.038006621,-3.725564586,0.000304506,0.007299835,0.069001439
COX5A,-1.319897046,6.437516107,-3.724781242,0.00030535,0.007305818,0.066471135
SMCHD1,1.747763461,7.374332739,3.722135027,0.000308216,0.00736008,0.057926567
SUPT16H,1.712767261,6.801629878,3.720472093,0.00031003,0.007389058,0.0525594
ADAR,1.794291982,7.987742135,3.71800321,0.000312743,0.007439286,0.044594445
AQP9,-2.049091671,2.69323016,-3.715041684,0.000316026,0.007502874,0.035045572
SLC2A6,-2.308798755,3.966004144,-3.714087381,0.000317091,0.007513651,0.031969863
ZNF221,1.176109178,1.958958304,3.713030972,0.000318274,0.007527176,0.028565785
PLEKHA8,2.114459421,3.561952623,3.709771521,0.00032195,0.007589684,0.018067562
PCK2,-2.122194483,4.682054265,-3.709593998,0.000322151,0.007589684,0.01749599
GPR84,-1.706124706,2.218201778,-3.706301323,0.000325908,0.007663504,0.006898424
ZSCAN5A,1.406254538,2.901988866,3.702082857,0.000330781,0.007762743,-0.006668128
NDUFAF7,1.691204053,4.603715778,3.701559544,0.00033139,0.007762743,-0.008350261
TRIM11,-1.635658367,4.661658568,-3.699451478,0.000333856,0.007791313,-0.015124534
CD5,1.422998598,8.630075829,3.699433351,0.000333877,0.007791313,-0.015182772
TGM2,-2.287291665,2.84086651,-3.696696529,0.000337104,0.007851719,-0.023973039
CDC123,-1.548123151,6.122313145,-3.690963345,0.00034396,0.007996264,-0.042370753
PYGL,-1.817720421,2.456431866,-3.690299628,0.000344762,0.007999791,-0.044499176
DCTN2,-1.71728681,6.590168828,-3.688210242,0.000347299,0.00804348,-0.051197518
KEAP1,-2.057713402,5.949557874,-3.686973175,0.00034881,0.008063275,-0.055162027
CELF2,0.808420606,8.527290058,3.685392414,0.000350749,0.008092886,-0.060226482
MAEA,-1.652153116,6.719789782,-3.681629608,0.000355406,0.00816899,-0.07227498
FAM193B,1.889048617,6.102631633,3.681378346,0.000355719,0.00816899,-0.073079177
YIPF2,-1.477742367,3.552064174,-3.681120688,0.00035604,0.00816899,-0.073903803
NSUN5,-1.820609137,5.946679788,-3.679746284,0.000357758,0.008193131,-0.078301773
PTCD1,1.474535901,3.791379596,3.678557978,0.00035925,0.008212009,-0.082103211
HGNC:9982,1.02430117,2.62711104,3.675725911,0.00036283,0.008271724,-0.091159247
MED13,1.761211891,4.309934308,3.675428602,0.000363208,0.008271724,-0.092109626
ZNF784,1.212813616,2.576060579,3.674232254,0.000364732,0.008291074,-0.095933284
RABL2A,1.631533837,3.962608911,3.673460779,0.000365718,0.008298147,-0.098398485
SMPDL3A,-1.684081469,2.392171594,-3.666075515,0.000375284,0.008499524,-0.12197717
ILKAP,-1.621417558,5.977443093,-3.661290644,0.000381608,0.008626863,-0.137233859
TRBV5-4,-1.617210823,3.763929811,-3.660220611,0.000383036,0.00863851,-0.140643556
ITPA,-1.665231522,5.740109199,-3.659852713,0.000383528,0.00863851,-0.141815697
PRDX5,-1.357111935,6.68364448,-3.658981422,0.000384696,0.008648975,-0.144591301
PSMG4,-1.176270637,3.934064277,-3.658226485,0.00038571,0.008655962,-0.146995826
RBP4,-1.840524588,2.420003174,-3.655888195,0.000388869,0.008703271,-0.154440972
RIN3,-1.551455814,5.457937262,-3.65561938,0.000389234,0.008703271,-0.155296647
APOBR,-1.288362719,2.502585776,-3.654492234,0.000390767,0.008721686,-0.158883957
ABCA3,-1.923252793,3.989918587,-3.653929428,0.000391534,0.008722984,-0.160674845
TYSND1,-1.593212243,6.147391412,-3.653089896,0.000392682,0.008732729,-0.163345897
CXCL16,-2.812084644,4.873547669,-3.649028583,0.000398278,0.008832625,-0.176260561
ZNF286B,1.143755815,2.388581693,3.648789147,0.00039861,0.008832625,-0.177021598
ARHGEF10L,-1.832217428,2.27024413,-3.643159539,0.000406498,0.008991217,-0.194903775
ERP27,1.704317054,4.030716856,3.641365736,0.000409043,0.009031252,-0.200597155
TMEM167B,1.91653454,5.918032452,3.639812492,0.000411258,0.009063892,-0.205525243
CBX7,1.789025103,4.790152031,3.638900535,0.000412564,0.009076409,-0.208417908
ACSL3,1.97995222,6.139108265,3.63687216,0.000415483,0.009124301,-0.214849728
CMAS,-1.792322622,5.2973493,-3.634520607,0.000418891,0.009182753,-0.222302795
F13A1,-2.823135853,3.784365705,-3.633955713,0.000419714,0.009184416,-0.224092621
GALK1,-1.745344087,4.906433233,-3.632343302,0.000422071,0.009210918,-0.229200225
BLK,-2.377697441,3.573717635,-3.631846795,0.000422799,0.009210918,-0.23077264
SIGLEC10,-2.060030213,3.137801964,-3.631592673,0.000423172,0.009210918,-0.231577371
FAM129A,-2.159820392,5.909495544,-3.630935429,0.000424139,0.009215646,-0.233658461
TMEM120A,-1.748523306,5.277152984,-3.629774596,0.000425851,0.009236532,-0.237333386
GPR107,-1.658104634,4.455422064,-3.625846674,0.000431693,0.009335449,-0.24976142
CAPN7,1.702018889,6.785082786,3.625688879,0.00043193,0.009335449,-0.250260468
IGHMBP2,-1.893391685,4.806454204,-3.623638363,0.000435011,0.009385559,-0.256743921
RBM39,1.064238112,10.11907909,3.621933182,0.00043759,0.009424657,-0.262133278
ZNF574,2.016653428,5.744860586,3.617363077,0.000444572,0.009558296,-0.276567602
LTBR,-1.878431016,2.749375123,-3.615740387,0.000447076,0.009582604,-0.281689293
LDLRAD3,-1.579825633,2.240641382,-3.615621081,0.000447261,0.009582604,-0.282065787
CMKLR1,-1.750152367,2.440973838,-3.613061087,0.000451241,0.009645201,-0.290142
DSE,-1.965276147,3.607632915,-3.612734152,0.000451751,0.009645201,-0.291173081
EMILIN2,-2.242697542,4.55831677,-3.610848465,0.000454707,0.009691487,-0.297118701
SNX24,-1.422797721,2.76613373,-3.607645061,0.000459771,0.009782455,-0.307213506
FIG4,-1.964114709,5.017498739,-3.606049238,0.000462313,0.009807752,-0.312239749
ACSL6,1.714124894,4.132287477,3.605897969,0.000462555,0.009807752,-0.312716096
TTL,-1.870311783,4.085557471,-3.603694634,0.000466088,0.00986567,-0.319652662
KLHDC3,-1.572496431,6.141879018,-3.602733097,0.000467638,0.009881473,-0.322678737
SEC11A,-1.220760608,6.454959238,-3.600653326,0.000471008,0.009935601,-0.329221852
POLR2J3,1.152842854,4.076854825,3.59483606,0.000480555,0.010103207,-0.347507573
TNFRSF1A,-2.001326271,4.684092896,-3.594810947,0.000480597,0.010103207,-0.347586459
CSF3R,-2.191561178,3.031749683,-3.594205025,0.000481601,0.010107056,-0.349489735
CD82,-1.485391644,6.650270619,-3.593132123,0.000483386,0.010123399,-0.352859227
CXCR6,-2.903904251,5.055595418,-3.592747729,0.000484027,0.010123399,-0.35406624
DAB2,-2.052052798,3.199802714,-3.589964481,0.00048869,0.010203588,-0.362802704
SLC16A13,-1.54380515,3.31832017,-3.589289501,0.000489828,0.010210001,-0.364920624
ZBTB10,2.33254301,4.915000003,3.586919104,0.000493842,0.010276256,-0.372355848
EVA1B,-0.472914212,1.820128078,-3.586171529,0.000495114,0.01028533,-0.374699961
IRAK3,-1.904575292,2.844040991,-3.584402864,0.000498137,0.010330673,-0.380244288
GFM2,-2.066275296,4.326573171,-3.583400795,0.000499857,0.010348898,-0.383384571
QRICH1,1.38792917,7.452159257,3.580201838,0.000505387,0.010445793,-0.393404803
H2AFY,-1.078831877,7.224895598,-3.576535341,0.000511795,0.010546651,-0.404880822
AP4M1,-1.741149729,3.696781139,-3.576429452,0.000511982,0.010546651,-0.405212112
PLD3,-1.678689147,7.123699853,-3.569299474,0.000524669,0.01078993,-0.427501546
EXOC8,1.442324415,3.354558747,3.568379228,0.000526328,0.01080397,-0.430375815
RNASE2,-1.679889185,2.4366532,-3.567947054,0.000527109,0.01080397,-0.43172545
METTL18,-1.753183512,4.371463024,-3.562519812,0.000537008,0.010988551,-0.448663152
ARHGAP8,1.215910959,1.88124327,3.556452747,0.000548281,0.0112006,-0.467573448
MSR1,-1.71789258,2.531290483,-3.555694533,0.000549706,0.011211077,-0.46993491
SSH3,-1.57460534,3.561695704,-3.554966091,0.000551077,0.011220447,-0.472203274
FBXO32,1.671499135,7.023021812,3.553461849,0.00055392,0.011249711,-0.476886299
SON,0.63867331,8.141173328,3.552760598,0.000555251,0.011249711,-0.479068906
TP53INP1,2.2975035,5.464008996,3.552756203,0.000555259,0.011249711,-0.479082585
FKBP1A,-1.046893737,4.591235642,-3.550845416,0.000558899,0.011272964,-0.485028068
CTNNA1,-2.258068562,4.510335519,-3.550755912,0.00055907,0.011272964,-0.485306501
EIF5,1.123135084,9.752415736,3.55071045,0.000559157,0.011272964,-0.485447924
CTSS,-2.144089814,7.26856386,-3.549851627,0.000560801,0.011287603,-0.488119273
ZNF292,1.979668956,6.191331724,3.545533274,0.000569136,0.011412015,-0.501543638
GABPB2,1.542774309,4.235218989,3.545380984,0.000569432,0.011412015,-0.502016821
DDIT4,-1.220405483,8.397512169,-3.545119681,0.00056994,0.011412015,-0.502828685
PVRL3,-0.982486771,2.438823927,-3.544439074,0.000571267,0.011412015,-0.504943089
SELENBP1,-1.402338094,1.94430466,-3.544257148,0.000571622,0.011412015,-0.505508215
FCGR1A,-1.422086004,2.229492416,-3.542223488,0.000575604,0.011472891,-0.511823901
MRPS18A,1.198924236,3.928475287,3.540741909,0.000578521,0.011502865,-0.516423245
GDE1,-2.205583253,5.573900413,-3.54051051,0.000578978,0.011502865,-0.517141451
HIST1H1C,1.177582067,7.245488667,3.538473558,0.000583015,0.011564388,-0.523462039
RASGRP1,-1.912610643,6.086658223,-3.536644474,0.000586663,0.011613449,-0.529135156
GDF15,-1.703933743,2.1846848,-3.536007821,0.000587938,0.011613449,-0.531109262
APLP2,-1.885998913,6.810000772,-3.535816254,0.000588322,0.011613449,-0.531703209
PSMD4,-1.159266913,7.413445546,-3.534144875,0.000591682,0.011661075,-0.536884181
ADAM12,-1.553775686,2.466625009,-3.533540173,0.000592903,0.011666431,-0.538758165
TRIM7,-1.154109978,1.96940236,-3.532302943,0.000595407,0.011696995,-0.542591574
C5orf63,1.626522134,3.778816849,3.530782939,0.000598498,0.011738955,-0.547299663
HSP90AA1,-1.418640517,11.60787353,-3.528844217,0.000602461,0.011781508,-0.553302355
RAB3D,-1.26444923,2.664456151,-3.528334545,0.000603508,0.011781508,-0.55487997
GALNS,-2.039821013,4.919154843,-3.528318163,0.000603541,0.011781508,-0.554930675
FYN,0.93947149,9.512203382,3.526241408,0.000607822,0.011844541,-0.561357068
CPSF6,1.41016908,6.83125706,3.525445469,0.00060947,0.011844541,-0.563819255
