gene_name,Texterm vs Texprog1,Texterm vs Texprog2,Texterm vs Texint
Tax1bp3,0,0,-1
Tbc1d2b,1,0,0
Tbkbp1,0,0,-1
Tbx21,0,0,-1
Tbxa2r,-1,0,0
Tcf19,-1,-1,-1
Tcf7,-1,-1,-1
Tcirg1,0,1,0
Tcrg-C1,1,1,1
Tcrg-C2,1,1,0
Tdp1,-1,-1,0
Tef,1,1,0
Tesk1,0,1,1
Tespa1,-1,0,0
Tgif1,-1,0,0
Tgtp1,0,0,1
Thada,0,0,1
Thoc6,-1,-1,0
Thop1,0,-1,0
Tigit,0,1,1
Timm8a1,-1,-1,0
Timp2,-1,0,-1
Tipin,0,-1,0
Tk1,-1,-1,0
Tlr12,0,1,1
Tmem109,0,0,-1
Tmem135,1,1,1
Tmem140,1,1,1
Tmem154,0,-1,0
Tmem159,0,1,0
Tmem171,0,1,1
Tmem180,-1,0,0
Tmem237,-1,-1,-1
Tmem238,-1,0,0
Tmem37,0,0,-1
Tmem38b,0,1,1
Tmem50b,0,-1,-1
Tmem65,0,0,-1
Tmem71,0,0,-1
Tmem9,0,0,1
Tmem97,0,-1,0
Tmlhe,-1,0,0
Tmpo,0,-1,0
Tmsb15b1,0,0,-1
Tmtc4,1,1,0
Tnfaip1,0,-1,0
Tnfaip3,0,1,0
Tnfaip8l1,-1,-1,-1
Tnfaip8l2,0,0,-1
Tnfrsf1a,1,1,0
Tnfrsf1b,1,1,0
Tnfrsf22,-1,-1,0
Tnfrsf25,-1,-1,-1
Tnfrsf8,-1,-1,-1
Tnfrsf9,0,0,1
Tnfsf10,1,1,1
Tnfsf4,-1,-1,0
Tnfsf8,-1,-1,0
Tnip1,-1,0,0
Tnk2,1,1,0
Tob1,0,0,-1
Top1mt,-1,-1,0
Top2a,-1,-1,-1
Tox2,0,0,1
Tpd52,-1,-1,0
Tpi1,-1,-1,0
Tpm4,-1,-1,0
Tppp3,0,-1,-1
Tpx2,-1,-1,-1
Traf1,-1,0,0
Traf5,0,0,1
Trafd1,0,0,1
Traip,0,-1,0
Trappc10,1,0,0
Trbv13-3,0,1,0
Trgv2,1,1,0
Trib1,1,0,1
Trib2,0,0,1
Trim13,0,1,0
Trim36,1,1,0
Trip13,0,-1,0
Tsc22d3,0,-1,-1
Tsc22d4,1,0,0
Tspan2,0,0,-1
Tspan3,0,0,1
Tspan31,-1,-1,-1
Tspan32,-1,-1,0
Ttc13,0,-1,0
Ttc27,-1,0,0
Ttk,-1,-1,-1
Tuba1a,0,0,-1
Tuba1b,0,-1,0
Tuba1c,0,-1,0
Tubb4b,0,-1,0
Tubb5,0,-1,0
Txndc5,0,-1,-1
Tyms,0,-1,0
Ubac2,0,0,1
Ubash3a,0,1,0
Ubash3b,0,1,0
Ube2c,-1,-1,0
Ube2t,0,-1,0
Ubr1,1,0,0
Ubxn2b,0,0,-1
Uck2,-1,-1,-1
Ugcg,1,1,0
Uhrf1,-1,-1,-1
Uhrf1bp1l,-1,-1,0
Usp18,-1,0,0
Usp20,1,1,0
Usp33,-1,-1,-1
Usp9x,1,0,0
Utp14a,-1,-1,0
Vars,0,0,1
Vcl,0,-1,-1
Vegfb,0,0,1
Vim,0,-1,-1
Vps37b,1,1,0
Vps37c,1,1,0
Wbp1,1,1,1
Wdfy1,-1,0,0
Wdhd1,0,-1,0
Wdr12,-1,0,0
Wdr4,-1,0,0
Wdr6,0,0,1
Wdr62,0,-1,0
Wscd2,1,0,0
Xndc1,1,0,0
Xrcc2,0,-1,0
Xylt1,0,0,-1
Xylt2,0,0,1
Yeats4,-1,0,0
Zbtb32,-1,-1,-1
Zbtb38,1,1,1
Zbtb4,0,1,0
Zc3h12d,-1,0,0
Zc4h2,0,0,-1
Zdhhc13,-1,0,0
Zdhhc15,0,0,-1
Zdhhc2,-1,-1,-1
Zeb2,0,0,-1
Zfp120,0,1,0
Zfp26,1,0,0
Zfp287,1,0,0
Zfp335,1,0,0
Zfp36l1,-1,-1,0
Zfp395,0,1,0
Zfp422,-1,-1,0
Zfp512,0,1,1
Zfp652,1,1,0
Zfp661,-1,0,0
Zfp783,0,0,1
Zfp831,1,0,0
Zfp937,0,1,0
Zmynd8,0,1,0
Zscan20,1,1,0
Zswim4,0,0,1
Zwilch,0,-1,0
Zwint,0,0,1
Zyx,0,0,-1
