gene_name,Cluster_16_Mean_TPM,Cluster_20_Mean_TPM,log10pval,log2FoldChange
Crebrf,16.07249003,11.04024355,-0.092554417,0.503808917
Crebzf,13.31008973,14.32810907,-3.798057954,-0.099147014
Creg1,21.69059717,24.61460891,-5.208202598,-0.174872286
Creld1,4.437468881,3.047903116,-0.045980464,0.425760479
Creld2,49.99741511,61.75055508,-9.724423107,-0.299204097
Crem,71.9045772,55.76767491,-0.19032716,0.360939742
Crim1,3.364662164,2.601091709,-0.057265998,0.277435649
Crip1,3651.034776,3652.642333,-0.275749929,-0.000634907
Crip2,9.767781257,20.84440879,-15.17184238,-1.020543053
Cript,154.0539429,134.8554055,-1.475231211,0.190698243
Crk,18.85148801,21.36720552,-5.096203024,-0.172137871
Crkl,3.287322837,3.606685848,-1.50535549,-0.10365216
Crlf2,96.02992941,73.16167824,-2.626841313,0.387755931
Crlf3,76.4751705,63.62872986,-0.494051758,0.261558386
Crls1,9.939739704,12.97787668,-5.718368031,-0.353566812
Crmp1,4.353146729,3.87702195,-1.213894595,0.134386732
Crnkl1,27.36248989,30.28938072,-5.184098214,-0.141688915
Crot,47.6705281,31.51475274,-2.090737621,0.581953976
Crtam,17.77983066,11.84546522,-0.443758318,0.547924913
Crtap,5.840195299,4.364143053,-1.02058528,0.350689805
Crtc1,4.40540987,4.068504396,-0.563915291,0.092843913
Crtc2,9.790783649,12.75178461,-5.923484737,-0.349819213
Crtc3,16.94350679,15.23064882,-1.685215789,0.144741198
Cry1,14.03440095,10.91002901,-0.403883195,0.336090456
Cry2,2.945812178,2.649442025,-0.374962943,0.112646383
Crybb1,5.408976683,5.354242977,-1.005841989,0.012373763
Crybg1,30.29838454,27.05999603,-0.670388256,0.15757339
Crybg2,4.484571561,5.466709415,-2.434557071,-0.237652858
Crybg3,1.83072052,2.232776982,-1.510102899,-0.191604667
Cryl1,6.914568024,6.882078352,-1.070579686,0.00593452
Cryz,2.641968463,3.548557113,-2.484222528,-0.320690539
Cryzl1,12.63037716,12.18686336,-1.651987182,0.047724038
Cs,112.3385822,124.915943,-3.502602793,-0.151821902
Csad,3.852848034,3.427454185,-1.021465427,0.132354305
Csde1,92.1847263,102.0044084,-2.898905694,-0.144540673
Cse1l,19.35279099,42.62108185,-33.85664685,-1.099798905
Csgalnact2,7.264499935,7.637346426,-2.174214432,-0.063660626
Csk,171.9735046,176.8859147,-1.591936988,-0.040401212
Csnk1a1,160.8695127,157.0813376,-0.017862654,0.034164227
Csnk1d,67.51574315,67.7669413,-1.12653484,-0.005279657
Csnk1e,7.507762843,8.408470774,-3.708686683,-0.145180432
Csnk1g1,20.89735805,15.95342763,-0.320377247,0.369179832
Csnk1g2,35.32882275,38.8988458,-5.060554807,-0.135232397
Csnk1g3,25.64932675,25.17589273,-1.762556634,0.025860345
Csnk2a1,52.21198446,60.34648477,-6.060195668,-0.20522947
Csnk2a2,5.851903019,6.337373713,-2.79299525,-0.098759036
Csnk2b,311.8498469,290.5018103,-0.871157566,0.101965555
Cspp1,13.04678931,19.66938911,-10.95461696,-0.557255341
Csrnp1,71.87437782,77.99023151,-3.1794895,-0.116262589
Csrp1,84.20351035,137.6103749,-34.74718421,-0.702050471
Csrp2,6.905275028,10.01211867,-5.808507689,-0.478204502
Cst3,123.1284471,113.8009005,-0.06340059,0.112699824
Cst7,129.0654783,99.39173428,-3.589934749,0.373597605
Cstb,144.8754621,112.2582426,-7.004801481,0.365121176
Cstf1,15.26791733,19.41878589,-8.936839194,-0.327867521
Cstf2,27.1405687,34.11453759,-10.99806401,-0.319416952
Cstf2t,10.1748612,8.234556693,-2.009407588,0.275142302
Cstf3,19.64375612,18.56960175,-1.335063658,0.077091095
Ctbp1,144.4208104,154.5233191,-1.7563477,-0.096897173
Ctbs,4.602452716,3.896978859,-0.220485022,0.1941666
Ctc1,5.036675618,9.626080399,-9.372327889,-0.815783349
Ctcf,62.20931282,109.8103868,-33.66363077,-0.809884083
Ctdnep1,30.67203013,43.28627977,-15.26314145,-0.483650465
Ctdp1,13.25053158,12.98713437,-2.854716868,0.026915318
Ctdsp1,31.9825685,42.71140713,-10.72040159,-0.406306069
Ctdsp2,13.56516515,12.28157286,-0.854745166,0.133096052
Ctdspl2,15.28033727,32.12259679,-29.41176121,-1.024685196
Ctla2a,674.6513031,525.1674308,-11.93787298,0.360756928
Ctla2b,154.2063805,133.8643713,-1.344929717,0.202678602
Ctla4,283.3823625,224.2428009,-5.116648359,0.336350995
Ctnna1,13.5174689,15.46969571,-4.791300981,-0.182023958
Ctnnb1,39.76976991,43.58592469,-5.456575219,-0.129088524
Ctnnbip1,24.35784768,28.05750279,-5.995768706,-0.196478425
Ctnnbl1,55.02374793,56.12740129,-1.178053,-0.028144402
Ctns,3.232989544,2.192440009,-0.102357137,0.407017415
Ctps,16.07547934,25.97584163,-14.62590572,-0.659741893
Ctps2,26.0362914,25.72066609,-1.989452839,0.016941297
Ctr9,17.73507496,19.74960622,-5.409218845,-0.147342208
Ctsa,99.16134972,71.18511645,-3.857808581,0.472552599
Ctsb,148.4286336,131.8455192,-1.564086112,0.169707058
Ctsc,101.391711,89.64248388,-0.397556862,0.175839628
Ctsd,542.5372879,407.1297475,-20.52572319,0.413351142
Ctse,84.67009021,63.16328261,-2.218989359,0.417043655
Ctsl,4.353293429,4.141323726,-0.65376126,0.058286878
Ctso,29.00967942,16.70222801,-2.825978043,0.761496957
Ctss,73.7868565,46.13371073,-8.064239743,0.666025478
Ctsw,553.886709,458.1332847,-10.2658382,0.273280223
Ctsz,52.56798023,48.53660869,-0.461996202,0.112875797
Ctu1,4.432121197,3.259643772,-0.012699039,0.350782883
Ctu2,23.62908835,29.05496527,-6.397986078,-0.287240125
Cuedc1,2.399128055,1.915563045,-0.014215742,0.221390194
Cuedc2,51.28953819,45.3351956,-0.133529276,0.174413867
Cul1,28.73564693,39.63253613,-10.00927772,-0.450441952
Cul2,11.95498673,14.46015567,-5.463124989,-0.255047308
Cul3,24.0194982,37.63603037,-18.06301447,-0.626894019
Cul4a,11.93151049,12.07184461,-3.000356833,-0.015571938
Cul4b,6.528714926,9.243723674,-7.197807939,-0.444264704
Cul5,20.44795418,21.97517674,-4.623528161,-0.099235917
Cul9,1.825403424,1.886850357,-0.674006414,-0.031039449
Cuta,194.4925305,204.2606482,-1.926158885,-0.070343581
Cutc,15.15410276,13.16917635,-0.916746044,0.189144724
Cux1,15.79855243,17.79512757,-4.106021107,-0.162021789
Cwc15,204.3254148,187.1042203,-0.867687336,0.126379995
Cwc22,15.85317296,15.22260733,-1.860576955,0.055014523
Cwc25,21.14593874,22.17019008,-4.363445819,-0.065227727
Cwc27,13.15056216,13.59807823,-2.969903322,-0.044919089
Cwf19l1,4.051886903,6.626962258,-5.954238155,-0.594286219
Cwf19l2,9.33163166,8.957018358,-2.196292288,0.05328242
Cx3cr1,1.601049295,1.543374279,-0.315493551,0.032349959
Cxcl10,8.800484024,17.45038292,-15.0726616,-0.912725851
Cxcr3,190.3252615,156.4485189,-2.61374678,0.281147185
Cxcr4,2.170487102,3.922934142,-3.060872412,-0.634813932
Cxcr6,275.8191054,164.5292143,-25.50896604,0.741857657
Cxxc1,36.67299316,36.85065895,-4.603501932,-0.006787755
Cxxc5,1.718098545,1.618478773,-0.442728102,0.053868853
Cyb561d1,5.731810556,5.362302592,-0.805925243,0.081445589
Cyb561d2,64.40046643,62.6377743,-0.558456395,0.039417546
Cyb5a,168.2755413,134.5740793,-5.204718614,0.32029216
Cyb5b,125.5816663,141.8769472,-4.376907365,-0.174704696
Cyb5d2,3.70702062,3.340165186,-0.842940822,0.11706422
Cyb5r1,5.661297479,6.521467754,-2.866693702,-0.175211009
Cyb5r3,26.17999603,31.51516929,-5.576711773,-0.25856769
Cyb5r4,87.90850847,71.09952057,-1.769676172,0.302331824
Cyb5rl,1.989998815,2.509730105,-1.42223415,-0.23121518
Cyba,1258.178725,1115.359583,-10.40537626,0.173681273
Cyc1,164.2525689,221.8123473,-23.61244278,-0.431156483
Cycs,358.7555054,503.9389937,-46.10093613,-0.489092328
Cyfip1,4.182488344,4.190193921,-1.539274033,-0.002143476
Cyfip2,73.90511301,91.90428091,-8.479961386,-0.310680875
Cyhr1,23.21597478,22.69165584,-1.915456937,0.031580044
Cyld,31.18186345,38.98897675,-7.222034984,-0.3133545
Cyp20a1,12.02026565,13.65835419,-4.647600622,-0.170964247
Cyp2e1,2.150032409,1.562136021,-0.076842812,0.298019603
Cyp4f13,3.847915909,2.89044544,-0.43914913,0.317429327
Cyp4v3,2.844280562,2.794811522,-0.967638582,0.018685397
Cyp51,61.94383439,54.30422464,-0.590245363,0.186675376
Cysltr2,5.944056164,4.361453481,-0.006364066,0.373154451
Cyth1,33.45564861,25.41289424,-0.015089195,0.38349812
Cyth2,36.93760148,44.51701845,-5.705335272,-0.262777588
Cyth3,3.183033436,3.377450566,-1.584717236,-0.065541357
Cyth4,83.29464371,61.26935964,-3.41320573,0.436918519
Cytip,240.9497453,234.588527,-0.25894272,0.038438138
D030056L22Rik,19.31206845,41.1072144,-32.7082145,-1.051730275
D10Jhu81e,47.9075277,45.12250263,-0.488882051,0.084585741
D10Wsu102e,27.99368894,24.42129437,-0.46880127,0.189701413
D11Wsu47e,3.439524745,2.823387295,-0.449426025,0.215553896
D16Ertd472e,155.7548806,123.1838765,-3.958595036,0.33603249
D17H6S53E,4.096455531,4.005951523,-1.351797713,0.025849914
D17Wsu92e,20.81068287,19.31430028,-1.001821764,0.102539268
D1Ertd622e,51.06267852,45.57505775,-0.579249179,0.16069198
D230025D16Rik,9.863245707,8.150484581,-0.623471635,0.247535163
D2hgdh,5.149273472,4.614755959,-0.434426736,0.13119265
D3Ertd254e,2.651670832,3.057947679,-1.229346459,-0.15219354
D3Ertd751e,2.88754029,4.230871223,-3.604028508,-0.428193626
D430042O09Rik,6.664816337,5.185451391,-0.361084975,0.309372341
D5Ertd579e,28.47755751,27.96903239,-2.113611058,0.025105491
D5Ertd605e,1.207248865,1.318174272,-0.563767637,-0.070739726
D6Wsu163e,7.461021842,9.285957552,-5.71280298,-0.281772291
D730003I15Rik,4.583747278,2.830031333,-0.817142524,0.543877451
D730045B01Rik,1.606722484,1.420820494,-0.08744503,0.106740894
D8Ertd738e,396.5794982,384.8710652,-0.317558827,0.043124498
D930016D06Rik,2.693534263,2.010778075,-0.135020285,0.29486559
D930028M14Rik,7.347452375,6.193146504,-0.686261831,0.214712969
Dad1,490.5083643,455.233388,-2.053610106,0.107443938
Dag1,3.094172792,3.160497544,-0.795518069,-0.023184075
Daglb,7.32165434,9.072825901,-4.199768856,-0.275526215
Dalrd3,21.69136187,18.20664703,-1.631235757,0.240537513
Dand5,4.058759165,2.980763697,-0.296235435,0.345738324
Dap,194.0947924,133.4857347,-12.40288653,0.536722119
Dap3,59.10050819,64.82699664,-3.25475368,-0.131302186
Dapk2,32.54413436,31.95902506,-2.050311365,0.025386946
Dapk3,56.62095863,48.78817488,-0.177285253,0.210790532
Dapl1,9.902282863,3.018885094,-0.875750459,1.439763023
Dapp1,33.31732613,30.44425445,-0.868166831,0.126140719
Dars,64.47287786,66.33063403,-1.321771254,-0.040365656
Dars2,5.862705983,9.893513431,-7.940540495,-0.666619882
Daxx,38.19612995,35.77945507,-0.507349106,0.091811111
Dazap1,176.8581339,198.1535938,-5.79491636,-0.16315456
Dazap2,189.7620668,166.3567044,-1.937635579,0.188847971
Dbf4,41.5777701,100.3162771,-58.03912528,-1.250693671
Dbi,320.9984369,328.8800334,-1.602887879,-0.034887774
Dbnl,187.5717527,171.1633491,-0.894319349,0.131335534
Dbp,3.705431333,2.649724974,-0.028021738,0.366539223
Dbr1,16.28893386,23.23749922,-8.771929042,-0.487391945
Dbt,8.383113738,7.980713515,-1.745432091,0.063236682
Dcaf1,9.930002801,15.3000755,-8.823069184,-0.576584876
Dcaf10,12.22880742,13.55604309,-3.379918884,-0.137935218
Dcaf11,22.094971,17.99484038,-0.303036481,0.281971146
Dcaf12,35.64688032,32.69942334,-0.849542333,0.120966485
Dcaf13,49.17992279,49.81590797,-1.610539822,-0.018169954
Dcaf15,14.87191503,25.72646005,-24.19281816,-0.751792556
Dcaf17,15.28326008,12.47676435,-0.569346071,0.272915411
Dcaf4,11.05121947,8.28774162,-0.116248216,0.375779398
Dcaf5,10.9207513,10.77468283,-1.356141194,0.017786964
Dcaf6,3.106473065,3.050718621,-1.462776752,0.019721962
Dcaf7,28.92872319,32.08181345,-3.519704377,-0.144507589
Dcaf8,24.64123221,20.7597072,-0.488946782,0.236806449
Dcakd,5.937517922,6.453486636,-2.727120731,-0.103495863
Dck,31.37397662,58.30639014,-32.32688001,-0.873352973
Dclk1,1,1.185597442,-1.316739603,-0.1280277
Dclre1a,2.747444552,4.177224177,-4.317598929,-0.466271657
Dclre1b,4.219278497,6.443295288,-5.10498794,-0.512091086
Dclre1c,4.303614871,5.634122749,-3.671300565,-0.32292969
Dcp1a,4.535239996,7.112452156,-5.987005569,-0.551492194
Dcp1b,10.23188326,8.686263051,-1.077488698,0.213587758
Dcp2,46.55723539,49.92557583,-2.206800482,-0.098725538
Dcps,110.1554871,111.8597172,-1.379052673,-0.021951472
Dctd,4.295676929,5.447427315,-2.820216463,-0.283908493
Dctn1,22.40605196,23.35835298,-3.943437072,-0.05753498
Dctn2,70.29904555,60.94499248,-0.080977221,0.202895102
Dctn3,179.6928314,175.4791221,-0.030013535,0.034041752
Dctn4,17.68553476,14.04764249,-0.791798939,0.312384374
Dctn5,34.96142521,31.29775373,-0.971982814,0.155016368
Dctn6,45.08230864,41.15174592,-0.513504734,0.128620606
Dctpp1,87.11659595,166.793702,-55.63279127,-0.929202898
Dcun1d1,38.59401562,35.79660278,-1.178497521,0.105709816
Dcun1d2,7.004914631,6.642439892,-1.803149855,0.066852717
Dcun1d3,8.21699706,6.620612134,-0.417439756,0.274389902
Dcun1d4,2.71674039,1.734043678,-0.718870438,0.44300163
Dcun1d5,208.405874,205.4239343,-0.3388079,0.020691655
Dcxr,6.616070435,4.652082848,-0.350001997,0.430264208
Dda1,85.52705422,100.6946059,-6.292662682,-0.233019966
Ddah2,2.798590024,4.792582871,-3.846398958,-0.608742767
Ddb1,51.6158569,59.74958865,-5.693803574,-0.207376988
Ddb2,13.5551721,18.68826409,-9.11859593,-0.435804017
Ddhd1,5.472832384,5.284232042,-1.342252099,0.042660693
Ddhd2,7.867275523,6.577557853,-0.293015691,0.226757942
Ddi2,11.19649194,12.80167076,-4.012445357,-0.178376677
Ddias,2.606252963,6.96175232,-13.39227226,-1.142585393
Ddit3,28.93348279,28.98443428,-2.478164899,-0.002453606
Ddit4,19.10183877,20.31465832,-3.033834218,-0.084518454
Ddost,149.0393214,155.949744,-2.41115949,-0.064962033
Ddrgk1,79.02054066,77.38254172,-0.757816218,0.02983802
Ddt,121.8378298,90.71327483,-5.358193322,0.421552455
Ddx1,35.67408431,55.67688133,-15.44113455,-0.627999431
Ddx10,35.19873363,35.09100504,-2.56619853,0.004299908
Ddx11,3.126319759,7.648473885,-10.92466154,-1.067589953
Ddx17,25.10914332,28.92625716,-5.811575479,-0.196856733
Ddx18,61.83076467,70.12939665,-3.190672309,-0.178974788
Ddx19a,25.23023321,36.05039239,-12.0915856,-0.498258187
Ddx19b,15.59331816,14.58117736,-1.539431991,0.090798159
Ddx20,6.756696418,13.27518581,-14.85142498,-0.879995281
Ddx21,118.8120902,126.2771235,-1.583089197,-0.087199639
Ddx23,7.719842719,7.869310015,-2.127134609,-0.024519762
Ddx24,125.9523376,114.8099869,-0.452957636,0.13252729
Ddx27,50.97532527,74.39838382,-14.09730652,-0.536706718
Ddx28,20.18882599,16.87580447,-1.131635738,0.245295485
Ddx31,7.397954799,9.036073808,-3.440008596,-0.257085058
Ddx39,191.863319,248.1373277,-18.35834195,-0.369362413
Ddx39b,158.4600191,188.8483719,-8.239896583,-0.25165288
Ddx3x,79.27186475,89.04951195,-3.983333575,-0.165824045
Ddx3y,1.102169258,1.15796925,-0.270570002,-0.037795474
Ddx41,46.79883926,51.93141668,-3.531932787,-0.147148683
Ddx42,30.03999481,39.85252211,-8.279059183,-0.396296832
Ddx43,2.232361816,2.502450807,-1.370965683,-0.115776092
Ddx46,97.16847256,100.1980962,-1.283247573,-0.043850476
Ddx47,56.64968934,53.70888577,-0.504923117,0.07553766
Ddx49,37.78997149,34.69228664,-0.61454975,0.120071384
Ddx5,658.1476462,616.1019446,-1.797472794,0.095092818
Ddx50,29.78745203,25.47594679,-0.524906897,0.217660198
Ddx51,7.25847965,6.995706643,-1.224530239,0.046650671
Ddx52,46.04957658,44.03388142,-2.038837482,0.063170912
Ddx54,74.96749735,70.44047026,-0.432532323,0.088640717
Ddx55,14.56523309,13.87251916,-1.707248705,0.065678144
Ddx56,21.34083045,30.88193418,-12.51197127,-0.513056341
Ddx58,26.53977979,20.38314134,-0.012699039,0.365043212
Ddx59,6.035655557,6.712201884,-2.14803634,-0.132457963
Ddx6,41.54159123,36.41310634,-0.079547629,0.185330242
Ddx60,6.919124118,3.882213206,-0.376623602,0.697805573
Deaf1,9.071654774,12.12287621,-7.791982926,-0.38178322
Deaf1_1,4.298374698,4.583052083,-1.955082127,-0.075504141
Decr1,9.013448637,9.045320061,-1.148754776,-0.004584607
Decr2,7.352977992,4.352086841,-0.801462913,0.642189112
Dedd,16.01620859,16.53332391,-2.74143675,-0.0431899
Dedd2,44.28518712,35.13803526,-0.047153747,0.325521146
Def6,163.1596157,147.6135479,-1.057430471,0.143533618
Def8,5.983782486,6.373188794,-2.416772571,-0.078280072
Degs1,64.67673493,58.44322562,-0.009500569,0.143870002
Dek,187.1236149,429.115267,-129.4488977,-1.193042381
Dennd1a,8.553942039,10.67490467,-3.286592834,-0.28924274
Dennd1b,27.19505763,28.69585772,-2.533659509,-0.074819412
Dennd1c,32.21846498,24.61347877,-0.306433123,0.375082198
Dennd2d,26.24046663,21.49986538,-0.465104296,0.275835047
Dennd3,3.114565855,2.981806801,-0.785335357,0.047316991
Dennd4a,20.14419805,20.15307997,-2.062280719,-0.000605897
Dennd4b,5.364642425,6.969259976,-3.947769896,-0.324366298
Dennd4c,9.362916222,11.99754303,-5.856916098,-0.326808883
Dennd5a,3.167339119,5.035077352,-4.860772878,-0.534245758
Dennd5b,2.034511008,1.916295826,-0.296490758,0.057326982
Dennd6a,6.942686345,5.018157978,-0.208830709,0.400305055
Dennd6b,2.157645385,2.791806219,-2.159987708,-0.264036077
Denr,142.0722386,142.8134975,-0.60311988,-0.007455323
Depdc1a,8.045047591,35.54176866,-61.63083677,-2.014346465
Depdc1b,2.150092862,6.355994543,-13.69457921,-1.223526051
Depdc5,6.628003429,6.146645719,-0.955335643,0.094039221
Dera,104.5724235,85.25701244,-3.102622105,0.291519385
Derl1,97.40508782,92.70903306,-0.014543647,0.070544786
Derl2,63.10661187,81.47196259,-12.44061307,-0.363430578
Desi1,64.20889396,62.84860893,-0.290001751,0.030413561
Desi2,46.75660742,45.72036321,-1.091739507,0.031648863
Det1,8.48207442,9.250908123,-3.207322656,-0.112477102
Dexi,19.71234011,21.51558282,-3.860076616,-0.120433262
Dffa,10.85850075,12.42761952,-4.014730169,-0.179281939
Dffb,17.55455749,15.61282414,-1.299446623,0.159476245
Dgat1,30.82388541,30.67709117,-2.273237638,0.006670124
Dgcr14,11.54640009,15.51198519,-6.816563117,-0.396240107
Dgcr2,16.09472118,18.23141161,-4.525605986,-0.16991377
Dgcr6,4.057514803,5.218996152,-2.090563502,-0.298253087
Dgcr8,6.882379653,13.97254821,-14.97787162,-0.925616634
Dgka,78.80720037,59.54092903,-3.081318027,0.398608101
Dgkd,19.76624278,19.68616428,-2.763591471,0.005574056
Dgke,3.006716117,3.424793315,-1.499940861,-0.143189772
Dgkq,2.925950426,2.735089119,-0.831232451,0.071899289
Dgkz,46.39172984,47.60091545,-2.499218215,-0.036348167
Dguok,43.89751166,35.84236171,-0.543936051,0.285269943
Dhcr24,21.00351535,19.88825779,-1.294918866,0.075041864
Dhcr7,27.10773767,26.5598577,-2.559660015,0.0283989
Dhdds,13.03068543,17.04760638,-8.224940153,-0.363222018
Dhfr,28.32817713,70.39993579,-50.6293212,-1.283635373
Dhodh,10.65069785,16.16917561,-10.52551059,-0.559404397
Dhps,47.61508869,49.18146821,-2.803739106,-0.045750529
Dhrs1,43.18417554,36.05183978,-0.027622774,0.253984584
Dhrs11,8.732552886,9.481258705,-2.463270754,-0.106921798
Dhrs13,3.714765447,7.327821152,-8.922099196,-0.820753085
Dhrs4,28.42536922,26.20081521,-1.471122015,0.113410628
Dhrs7,38.53936157,27.59206057,-1.111155212,0.467674981
Dhrs7b,16.34004001,22.69696368,-8.964144047,-0.450594989
Dhx15,73.29393266,92.00337845,-8.915623969,-0.324038729
Dhx16,33.80498896,38.57496208,-4.713926175,-0.185293851
Dhx29,8.728800336,10.34160057,-3.623320087,-0.221290432
Dhx30,16.47212218,16.57299396,-2.569485218,-0.008305158
Dhx32,14.57282577,12.07925345,-0.335270215,0.251750558
Dhx33,3.605897528,4.580853959,-2.50934673,-0.27700358
Dhx34,4.624863562,5.041310649,-2.210205841,-0.103043471
Dhx35,4.208529057,5.458189808,-3.93512935,-0.310253845
Dhx36,24.45247841,26.49555832,-3.952631444,-0.111392437
Dhx37,4.423502383,5.111154703,-3.166178848,-0.172220189
Dhx38,16.22350141,14.78384505,-1.696152049,0.125929763
Dhx40,20.78924725,23.34788899,-5.089307009,-0.160180336
Dhx57,4.04499934,4.226199327,-1.100984948,-0.050908069
Dhx58,16.75849392,9.468915089,-1.632649994,0.762397293
Dhx8,17.88039527,17.73773185,-2.293263488,0.010942639
Dhx9,36.5692118,41.52959145,-4.18374093,-0.178916147
Diablo,51.2291725,59.77064585,-4.360244389,-0.218518778
Diaph1,72.27942082,74.22193214,-1.293875962,-0.037745263
Diaph2,3.409289649,5.940109374,-6.702399881,-0.654412148
Diaph3,6.497757476,21.0564866,-35.9622545,-1.556671935
Dicer1,11.907993,13.93821733,-3.082521644,-0.210743292
Dido1,17.68088986,19.36078219,-4.415132372,-0.124229807
Diexf,3.17762528,4.530153071,-3.841982338,-0.404636321
Dimt1,14.19974266,18.38287327,-5.975516424,-0.35073555
Dip2b,16.48641765,15.8623887,-1.850599582,0.052425842
Dirc2,1.720974432,1.395084173,-0.007855909,0.184047041
Dis3,6.181663533,12.19183032,-13.51344759,-0.877254779
Dis3l,7.168660975,8.524809018,-4.024855343,-0.221590557
Dis3l2,9.749254884,8.260892842,-1.050700648,0.215013463
Disc1,2.240473674,2.340716956,-0.811824523,-0.043953041
Disp1,4.185790347,3.194965769,-0.189874233,0.305904843
Dkc1,38.01562988,51.70164592,-10.28595622,-0.433795828
Dkkl1,9.428852467,8.452092297,-0.89908401,0.141874798
Dlat,25.44670869,29.76594558,-6.330238956,-0.218246145
Dld,31.59458143,33.39014551,-2.658427502,-0.077363071
Dlg1,9.840359328,11.25042929,-3.475246814,-0.176419728
Dlgap4,27.3715927,19.56062469,-0.696110138,0.464563044
Dlgap5,12.19657095,37.79087866,-43.68024986,-1.555554353
Dlst,24.48354404,31.6696936,-9.19108113,-0.358386994
Dmac1,100.7457958,86.72188342,-1.180955746,0.21396049
Dmac2,21.45193121,14.04890925,-0.439751321,0.57718062
Dmap1,13.63739114,14.01222233,-2.579146994,-0.036479121
Dmtf1,12.4695345,13.70572314,-2.327725576,-0.126677737
Dmwd,2.11749225,2.595422212,-2.135111747,-0.205775223
Dmxl1,5.522913106,7.041445586,-4.682429501,-0.301938464
Dna2,5.131084407,10.29875454,-10.32099704,-0.881949582
Dnaaf2,20.01196123,33.65892731,-18.50381646,-0.722016176
Dnaaf5,11.61741113,9.916817441,-1.084343728,0.208863594
Dnah8,3.728483112,3.257394161,-0.649156514,0.151406779
Dnaja1,279.5047962,300.0403606,-2.86487665,-0.101931483
Dnaja2,180.8067463,170.7784794,-0.500457416,0.08185643
Dnaja3,14.84677767,17.80957857,-5.030872988,-0.247278016
Dnaja4,7.088844279,6.217078063,-0.558745559,0.164518728
Dnajb1,69.19699184,91.0144913,-12.89373776,-0.39045188
Dnajb11,168.4397697,174.4206794,-1.994853907,-0.050046296
Dnajb12,13.61086684,13.64958471,-3.49711849,-0.003817994
Dnajb13,6.700968889,5.16701169,-0.206752228,0.320468387
Dnajb14,7.052408464,7.22110817,-1.82459604,-0.02991252
Dnajb2,2.504340598,1.979790517,-0.068098782,0.233932091
Dnajb4,14.41418677,11.3363218,-0.408094958,0.321346473
Dnajb5,3.641298768,3.96908306,-1.552483992,-0.098451088
Dnajb6,243.1800581,206.6628758,-4.1378377,0.233702056
Dnajb9,35.70101561,24.70285308,-0.426184361,0.513891476
Dnajc1,67.51595015,67.43673427,-2.067873353,0.001668961
Dnajc10,11.81123037,14.82509058,-6.035534561,-0.304804721
Dnajc11,15.13660285,18.91715241,-7.141409192,-0.30367451
Dnajc12,1.858626036,1.936724149,-0.301899944,-0.038885858
Dnajc13,12.48826666,12.4137111,-2.494008954,0.007996528
Dnajc14,20.5683455,20.34653263,-2.800852018,0.014913763
Dnajc15,767.5545005,679.835059,-7.567466206,0.17484224
Dnajc16,2.666507962,2.844407067,-1.330067989,-0.068354432
Dnajc17,16.44272715,14.86974315,-1.728047757,0.136346843
Dnajc18,11.54920787,9.646181908,-0.671381364,0.237260178
Dnajc19,94.01665855,113.0597074,-6.06519851,-0.263536859
Dnajc2,95.09176486,127.4626909,-13.15299485,-0.418864721
Dnajc21,27.00399113,38.94344467,-11.79402383,-0.512326299
Dnajc24,23.1629405,28.02866806,-5.405081656,-0.264682344
Dnajc25,12.47436758,11.35996332,-0.636438795,0.1245431
Dnajc27,1.491894314,2.61429303,-3.926375737,-0.536470595
Dnajc3,127.0448733,125.832994,-0.605590189,0.013719399
Dnajc30,21.34043182,21.45965953,-2.82581842,-0.007678986
Dnajc4,11.9562876,13.93133369,-5.08528864,-0.204690637
Dnajc5,60.28229294,64.87303653,-2.90696951,-0.104217777
Dnajc7,107.1084038,97.18872109,-0.154551123,0.138849458
Dnajc8,158.0237925,186.660741,-7.287014079,-0.238884235
Dnajc9,123.1910956,240.6605205,-79.71454157,-0.960420066
Dnal4,4.507410053,5.595877506,-3.730300022,-0.260190578
Dnase1l1,5.510175396,3.337661461,-0.200740657,0.585778952
Dnase2a,13.73693911,11.9633189,-0.939099459,0.185001777
Dnlz,38.48576218,37.05511807,-1.569786499,0.053242042
Dnm1l,29.24362847,30.79321136,-3.351012128,-0.07208751
Dnm2,66.33259271,65.97636759,-0.613441364,0.007652884
Dnmt1,55.14854672,115.9456739,-61.11584431,-1.058517906
Dnmt3a,16.03035514,18.56319958,-4.694780812,-0.200033823
Dnmt3b,3.747975829,4.089690768,-1.453327258,-0.100265415
Dnpep,33.48859058,36.97897416,-4.591500245,-0.139081765
Dnph1,1.513938203,4.887189417,-11.33298018,-1.22762986
Dnttip1,35.46530414,40.87136051,-5.191377375,-0.199439369
Dnttip2,42.08291065,42.49929701,-2.451024229,-0.013876365
Dock10,94.83194894,97.33003389,-0.762170288,-0.037125431
Dock11,29.31744899,34.87538624,-4.508575427,-0.242845999
Dock2,67.34204221,75.9492385,-4.021395844,-0.17113369
Dock5,3.948967205,3.934168112,-1.512996191,0.004320611
Dock8,37.084013,35.88418765,-0.972496061,0.046183045
Dock9,5.617538631,6.343392875,-2.89642326,-0.150152075
Dohh,49.15131088,52.45673891,-1.976157542,-0.092084419
Dok1,37.18612152,24.50530549,-1.255440963,0.582251016
Dok2,105.3606687,103.3682932,-0.692293731,0.02728126
Dolk,5.078625136,5.234171224,-1.512055277,-0.036452728
Dolpp1,8.630214157,9.211576517,-2.653193837,-0.084565828
Donson,27.88884573,44.10703932,-19.54272889,-0.642840034
