gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
INPP5K,1.651472354,7.146255083,3.462080933,0.000755075,0.029198866,-0.714239973
ARHGAP21,1.434452614,3.267891322,3.46116773,0.000757395,0.029198866,-0.717006921
HPCAL4,2.054304199,3.877651687,3.454505294,0.000774525,0.029765951,-0.737175966
MYL6,-0.684514971,9.322872083,-3.451176965,0.000783218,0.030006283,-0.747240053
MPZL2,-1.552750069,2.520612965,-3.449745343,0.000786986,0.030056986,-0.751566545
SNAPC4,1.436122677,3.617778901,3.444890771,0.000799888,0.030455192,-0.766226769
PSME1,-0.731253383,8.809237651,-3.443034978,0.000804873,0.0305504,-0.771826653
STX3,-1.936815992,4.421861642,-3.434720279,0.000827568,0.031315154,-0.796886586
PIK3CA,1.85522875,5.198849284,3.428435627,0.000845119,0.031881193,-0.815795723
MED23,2.145530675,5.567610325,3.427483716,0.000847807,0.031884816,-0.818657383
GAPDH,-0.801246368,9.879715416,-3.422513197,0.000861978,0.032318911,-0.833589477
CATSPER2,0.846357417,2.387492343,3.419830125,0.000869719,0.032510047,-0.841642517
FN1,-2.619022447,3.38030222,-3.413649123,0.000887802,0.033028207,-0.86017494
KAT7,1.685449557,6.620938334,3.413259937,0.000888952,0.033028207,-0.861340926
CLEC4E,-1.474576874,2.325398109,-3.405775783,0.000911348,0.033679933,-0.883742278
DUSP4,-2.22041401,5.72305688,-3.405523961,0.00091211,0.033679933,-0.884495334
FANCD2,1.370552392,3.406587916,3.404667218,0.00091471,0.033679933,-0.887057025
ATF3,-1.974722818,6.365552252,-3.403015375,0.000919741,0.033702745,-0.891994623
CD9,-2.142890289,4.73624814,-3.402665344,0.00092081,0.033702745,-0.893040667
NPAS2,1.346720031,2.62953278,3.400182178,0.00092843,0.033880821,-0.900458947
LRP6,0.881663741,2.18745852,3.399153655,0.000931604,0.033896054,-0.903530303
HIST1H2BH,-1.347360282,2.479331248,-3.39237407,0.000952779,0.034486639,-0.923756565
PTMS,-1.025128415,2.881781259,-3.392163487,0.000953444,0.034486639,-0.924384296
ANKRA2,1.608262101,5.449135396,3.390153486,0.000959813,0.034615181,-0.930374365
B4GALT2,-1.161887544,2.303504493,-3.38802326,0.000966606,0.034758236,-0.936719582
DOPEY1,1.52458324,3.264435075,3.381885702,0.00098643,0.035367701,-0.954983209
ALPL,-1.10414203,1.908738843,-3.378130374,0.000998748,0.03545013,-0.966144764
C3AR1,-2.110594672,4.538552265,-3.378116687,0.000998793,0.03545013,-0.966185426
EPGN,1.552288871,2.557321487,3.377705129,0.001000152,0.03545013,-0.96740804
SLC41A2,1.533319817,2.537068653,3.377672404,0.00100026,0.03545013,-0.967505251
FAM134C,2.189366683,6.757989326,3.37659751,0.001003817,0.035473968,-0.97069784
ANKZF1,2.012564211,7.309668668,3.369646159,0.001027109,0.036193085,-0.99132444
DENND5A,1.956205425,5.557990458,3.362757635,0.00105069,0.036918235,-1.011730571
MXD1,-1.841164595,6.228545636,-3.360512714,0.001058483,0.037086125,-1.018373454
C1QC,-2.318780292,4.514211867,-3.359265888,0.001062836,0.037089372,-1.022061346
FBLN7,1.451953772,4.340544607,3.358759476,0.001064608,0.037089372,-1.023558905
GAS8,1.204772726,2.673014692,3.357217337,0.001070022,0.037167197,-1.028118183
ARPC2,-0.647769795,9.839399837,-3.356404611,0.001072886,0.037167197,-1.03052029
ZNF765,1.624433571,3.919382836,3.35183024,0.00108914,0.037624271,-1.044031574
DDX28,1.839351252,4.606161414,3.347928728,0.001103184,0.038002696,-1.05554359
TIAM1,1.745538819,5.013022451,3.34348817,0.001119376,0.038452756,-1.068632863
GSN,-2.535836091,5.488621097,-3.340688595,0.001129698,0.038699245,-1.076877801
RAB13,-1.699725411,2.60633582,-3.335828094,0.001147831,0.039211191,-1.091178934
NAT9,1.745533742,5.742742459,3.331808101,0.001163034,0.039620481,-1.102994202
SIDT1,1.758676425,5.926193934,3.330090656,0.001169586,0.039733632,-1.108038447
H2AFJ,-0.797315564,6.137634797,-3.329194104,0.001173021,0.03974052,-1.110670835
ZDBF2,1.809700771,3.408562912,3.319845518,0.001209397,0.040860345,-1.138084968
ZNF473,1.634100253,4.043017262,3.318705042,0.001213906,0.040877666,-1.141425034
NFRKB,1.867203888,5.58434257,3.318036341,0.001216558,0.040877666,-1.143382993
ADTRP,1.520151397,4.35165271,3.316171598,0.00122398,0.041014989,-1.148841272
MNDA,-2.001202829,3.478737159,-3.309560746,0.001250635,0.041794303,-1.168171646
RIC3,1.401987708,4.280339698,3.307752922,0.001258018,0.041907314,-1.173452297
ALOX5AP,-1.23986217,7.652037783,-3.307066535,0.001260832,0.041907314,-1.175456615
SLC7A7,-2.04993233,3.535734576,-3.305593527,0.00126689,0.041947034,-1.179756792
LRMP,1.504403093,5.868352469,3.305118818,0.001268848,0.041947034,-1.181142284
MYL12A,-0.868485359,8.979764205,-3.301426674,0.001284176,0.042129445,-1.191912673
TRGV10,-1.176248009,3.641807187,-3.301333097,0.001284567,0.042129445,-1.192185517
RAB37,1.984657625,5.114513482,3.301314835,0.001284643,0.042129445,-1.192238764
LETM2,1.319644066,4.617029557,3.297298022,0.001301521,0.042569436,-1.203944725
ITGAE,-1.529642921,6.31759882,-3.296375296,0.001305428,0.042583947,-1.206632125
C6orf120,1.587685089,4.625264095,3.295018306,0.001311192,0.042658842,-1.210583175
TOE1,1.667815052,5.49062077,3.292416203,0.001322313,0.042907137,-1.218155808
CAPZB,-0.639788899,8.308185531,-3.290360842,0.001331159,0.042993917,-1.224133845
TFPI,-1.517253738,2.516358711,-3.289495503,0.0013349,0.042993917,-1.226649778
ADPRHL2,1.782700322,5.506591131,3.28862305,0.001338682,0.042993917,-1.229185844
VCAN,-2.099780099,3.051757579,-3.288556384,0.001338971,0.042993917,-1.229379608
UMPS,1.717076192,4.75009748,3.284341825,0.001357385,0.043306993,-1.24162261
ZYX,-1.208409823,7.073794805,-3.284183749,0.00135808,0.043306993,-1.242081561
GPX3,-2.472589489,3.863332163,-3.283909696,0.001359286,0.043306993,-1.242877188
RHOV,1.034697474,2.130893838,3.274465978,0.001401463,0.044535384,-1.27026079
TMSB10,-0.830595213,10.34531708,-3.269843227,0.001422552,0.045089028,-1.283641599
ATXN7L3B,1.831743314,5.484279145,3.268237504,0.001429946,0.045192138,-1.288285818
TRMT5,1.39965366,3.110014747,3.267543211,0.001433154,0.045192138,-1.290293333
CCDC157,1.629287569,3.663771523,3.266482447,0.001438069,0.045231138,-1.293359808
HTRA1,-1.717378728,2.72021493,-3.265071724,0.00144463,0.045321574,-1.297436682
MYBL1,-1.917390614,4.710878115,-3.263011266,0.001454262,0.045507674,-1.303388633
NBPF15,1.474196155,4.828636887,3.260062841,0.00146815,0.045758069,-1.31190024
DUSP2,-1.131063313,11.50074045,-3.259734245,0.001469705,0.045758069,-1.31284845
HSPD1,-1.464584277,9.068885759,-3.254289614,0.001495703,0.046289041,-1.328548235
NECAP2,1.04053185,7.909394185,3.253903822,0.001497561,0.046289041,-1.329659861
JAKMIP1,-1.834215446,5.571282879,-3.253567719,0.001499182,0.046289041,-1.330628223
NUP210,2.006101768,6.989335648,3.25302224,0.001501816,0.046289041,-1.332199653
EIF4EBP1,-1.406380892,4.993299098,-3.251584739,0.001508777,0.046387352,-1.336339802
ZMIZ2,1.398697181,4.76439509,3.250625318,0.00151344,0.046414681,-1.339102195
ARL4D,-1.72479306,4.86846756,-3.248332347,0.001524639,0.046425945,-1.345701463
ARRB2,-0.907433977,6.168656912,-3.247799144,0.001527254,0.046425945,-1.347235494
THBD,-2.405179307,3.28399872,-3.247779025,0.001527353,0.046425945,-1.347293372
ATP5E,-0.923860365,7.367230636,-3.247432744,0.001529054,0.046425945,-1.348289512
MUC1,-1.183430045,2.156711475,-3.246695114,0.001532683,0.046425945,-1.350411141
CYP4B1,-1.581460812,2.128270217,-3.240088281,0.001565546,0.047304872,-1.369396524
XPNPEP3,1.268367681,3.764228241,3.23918702,0.001570079,0.04732558,-1.371983912
IRF4,1.921397671,5.222216625,3.233379801,0.001599586,0.048097091,-1.388641357
RTN1,-1.434399022,2.309558591,-3.231931725,0.001607024,0.048202881,-1.392791178
LRRC8B,1.734863788,4.288558459,3.230227794,0.001615817,0.048348714,-1.397672251
EPC1,1.06998191,6.304710507,3.228039125,0.001627178,0.048570475,-1.403938783
CSF3R,-1.934894381,3.031749683,-3.225073456,0.001642691,0.048828634,-1.412424401
LTK,-1.462157906,2.477786225,-3.223641315,0.001650231,0.048828634,-1.416519854
MTA2,1.757484537,3.832243818,3.223636149,0.001650259,0.048828634,-1.416534623
SFXN2,1.481343445,3.546416048,3.223361452,0.001651709,0.048828634,-1.417319996
SGMS2,-1.221034835,2.087465408,-3.218365292,0.00167829,0.049495461,-1.431594574
TP53BP1,1.803742812,5.03202369,3.216868368,0.001686331,0.049613637,-1.435867887
